Department,Date,Title,Review
Augen,16.03.2021,super Klinik,"Meine Laser OP grauer Star hat super geklappt. Alles lief wie am Schnürchen ab. Danke dafür.
Danke auch an den neuen Küchenchef für das tolle Brötchen.(war eine Überraschung)
Mit dem Shuttleservice war ich auch sehr zufrieden, sehr freundliche Fahrerrinnen.
Also die Klinik ist absolut weiter zu empfehlen."
Augen,20.01.2021,Ich war sehr zufrieden mit allem,Bin sehr zufrieden gewesen mit der Klinik und dem Personal. Die erste OP verlief sehr gut +die  zweite folgt in 3 Wochen. Werde die Klinik auf jeden Fall weiterempfehlen
Augen,16.11.2020,Endlich wieder klare Sicht,"Komptentes Ärzteteam.
Strickte Einhaltung der Corona Schutzregeln.
Rundum zufrieden"
Augen,22.03.2020,Beste Augenklinik,"Ich komme seit einen halben Jahr mit meiner behinderten Frau hier zum Augen-Spritzen auf Grund eines diabetischen Makulasyndroms. Ich kann bis jetzt nur positiv berichten - auch wenn das Wartezimmer sehr voll ist - waren wir immer sehr schnell dran und innerhalb einer Stunde fertig. Hier wird der Patient noch als Mensch betrachtet und nicht als Nummer, es wird mit Namen aufgerufen - Kinder mit Vornamen. Bei Behinderungen werden die Patienten von den immer netten Schwestern betreut und es wird geholfen. Von den Ärzten bekommt man alles genau erklärt - hier fühlt man sich in guten Händen - Danke an das gesamte Ärzte und Schwesternteam."
Augen,14.11.2019,ich war ringsherum zufrieden,"Ich war Anfang November 2019 zur Augen-OP (Grauer Star)in der Klinik und zunächst wegen negativer Meinungen voller Bedenken. 
Doch im Gegenteil! Sowohl beim Voruntersuchungstermin als auch am Tag der OP kümmerte sich das gesamte Klinikpersonal nett und ausführlich beratend um mich.
Besonders fürsorglich und freundlich begegnete mir die Anästhesieärztin, die mir durch ihre beruhigende und verständliche Aufklärung der auf mich zukommenden Ereignisse die Angst vor dem Eingriff nahm."
Augen,11.11.2019,Akute und wiederholte Netzhautoperation,"Trotz extrem hoher Patientenfrequenz erfolgte die Behandlung/Untersuchung in angemessener Zeit.  Ausführliche Untersuchung durch mehrere Ärzte mit entsprechend verständlicher und detaillierter Aufklärung über Behandlung- und OP-Verlauf.  Klinikaufenthalt durch akute Behandlung leider nur in Drei.Bettzimmer möglich gewesen.  Dennoch versuchen sowohl Ärzte aus auch das umsichtige und sehr nette Pflegepersonal den Aufenthalt den Umständen entsprechend angenehm zu machen.
Die postoperative Versorgung durch die Ärzte ist vorbildlich."
Augen,30.07.2019,Perfekte Klinik für Augenerkrankte!,"Diese Klinik ist NUR zu empfehlen!!! Das gesamte Team: Ärzte, Helferinnen, Pflege- und Hauswirtschaftspersonal arbeiten ausnahmslos professionell!!!
Nach insgesamt 14 Tagen Aufenthalt kann ich sagen, NICHT ein unfreundliches Wort, absolut engmaschige ärztliche und pflegerische Betreuung!!!
Jederzeit würde ich mich wieder an die Augenklinik wenden!!!"
Augen,23.07.2019,Hohe Kompetenz und Freundlichkeit!!,"Sehr nettes und kompetentens Personal!! Kurze Wartezeiten trotz hoher Frequentierung. Gute Aufklärung durch die Ärzte!!!! Im OP- Bereich nette, heitere und gelassene Atmosphäre trotz Stress. Meine Mutter fühlt sich dort als Mensch und nicht nur als Patient und Nummer!! Alle Mitarbeiter sehr geschult und emphatisch!"
Augen,08.01.2019,Gute Behandlung,"Freundliches Personal, keine lange Wartezeit, kompetente Behandlung"
Augen,31.10.2018,"Nette Arzthelferinnen, unangenehme Ärztinnen","Dass es bei einer offenen Sprechstunde einer Augenklinik zu langen Wartezeiten kommt, ist verständlich, trotzdem ist es toll, dass es so eine Möglichkeit gibt. Allerdings war ich nach zwei Stunden Warten auf einer Bank oberhalb einer zugigen Treppe schon sehr durchgefroren.
Die Arzthelferinnen wirkten freundlich, die beiden dann untersuchenden Ärztinnen leider gar nicht. Kaum Aufklärung, meine drei Sätze die ich zur Anamnese sagen wollte, schienen uninteressant, es wurde kein einziges Mal gelächelt. Fragen von mir am Ende wurden teilweise sehr gereizt aufgenommen. Geantwortet wurde z.T. mit genervten rhetorischen Gegenfragen. Es war keine angenehme Atmosphäre und ich traute mich am Ende gar nicht mehr, alle meine Fragen loszuwerden. 
Ja, Ärzte haben oft wenig Zeit und einen stressigen Job. Trotzdem gibt es Ärzte, die den Patienten mit Respekt und Empathie begegnen und sogar fragen, ob es noch Fragen gibt. 
Letztlich sind Ärzte nach Patientenrechtegesetz auch einfach verpflichtet über Diagnose, Prognose, Behandlungsmöglichkeiten usw. aufzuklären, und den Patienten zu ermöglichen, Fragen zu stellen, bis sie alles verstanden haben. Schade, dass das so oft auf der Strecke bleibt.
Dazu muss ich sagen, dass ich schon einmal bei einem polnischem Arzt in derselben Klinik war. Dieser war tatsächlich sehr nett und wirkte überhaupt nicht genervt von Fragen."
Augen,28.01.2018,Genervte Mitarbeiter in der Anmeldung,"Die Schwestern in der Anmeldung habe ich zum wiederholten Male als sehr unfreundlich (genervt) und anmaßend erlebt. Zum Teil wurden sogar Anweisungen der Ärzte nicht ausgeführt. Bei allem Respekt, dass täglich so viele Patienten behandelt werden, sollte man doch diesen Mitarbeitern einmal klar machen, dass sie es mit kranken Menschen zu tun haben und dass man ihnen Respekt zollt. Schließlich kommen diese Menschen nicht aus Jux und Tollerei in die Klinik. Der Ton den Assistenzärzten gegenüber lässt auch zu Wünschen übrig, so dass es den Patienten sogar peinlich ist. 
Alles in allem sehr schade. Denn die Ärtzte leisten tadellose Arbeit und diesen guten Ruf sollten sie sich nicht durch unmotivierte Mitarbeiter zunichtemachen lassen."
Augen,31.10.2017,Immer wieder!,"Ich habe die Klinik aufgesucht, um schnell eine Diagnose zu bekommen. Andere Augenärzte wollten einen Termin in 6 - 8 Monaten geben. Ich bin um 07.15 Uhr in der Klinik gewesen und so gegen 09.30 Uhr mit OP-Termin (grauer Star) wieder raus. Hätte es bis zum Abend gedauert, wäre es für mich auch ok gewesen. Schneller als ein Termin in 6 - 8 Monaten.
Am OP-Tag wurde ich abgeholt, war um 07.30 Uhr in der Klinik und so gegen 10.00 Uhr operiert. Ich empfand den gesamten Vorgang wie eine Fliesbandarbeit. Was aber nicht so schlimm war, es gab ja noch weitere Patienten und letztendlich hat es die Op nicht beeinflusst und darauf kam es mir an.   
Die Unterbringung ist nicht gerade modern, aber reicht meines Erachtens aus. Verpflegung war gut und reichlich. Betreuung war auch gut und in allen Bereichen nett und höflich.
Ich kann wieder gut sehen und danke allen Beteiligten für die gute Arbeit.
Ich will nichts empfehlen, persönlich ist die Klinik mein Ansprechpartner. Sollte ich erneut eine OP benötigen - was ich nicht hoffe - dann bin ich wieder in dieser Klinik und vertraue auf erneute gute Behandlung!"
Augen,04.08.2017,OP      B ereich freundlich und zuvorkommend,"In der Anmeldung ist Chaos...Nachdem ich 1 Std. im Wartezimmer saß, meldete ich mich erneut bei der Anmeldung und fragte, wie lange es dauere. Ich war zur 2. OP des Auges bestellt und sagte es nun auch..Die Dame daraufhin:  Sie müssen sagen, was sie wollen...Es stand auf der Überweisung.  Im OP-Bereich waren alle zuvorkommend und nett, in der Anmeldung total überfordert.."
Augen,28.07.2017,Inkompetente Beratung,"Hallo, telefonische Beratung war inkompetent. Ich habe einen Termin vereinbart und habe gefragt, was ich für meine Arbeitsuntersuchung brauche. Wenn aber ich schon in der Klinik war, habe ich erfahren, dass ich noch einige Unterlagen brauche, die ich natürlich dabei nicht hatte. Darüber hat mir telefonisch nichts gesagt. Und in der Klinik wusste die Beratung selbst nicht, welche Leistungen sie anbieten.
Ich war sehr enttäuscht und habe viel Zeit verloren."
Augen,23.04.2017,Hut ab!,"Hut ab! 
Am 19. Februar 2017 kam ich als Notfall in die Klinik. Bereits am Empfang habe ich freundliche und kompetente Mitarbeiterinnen schätzen gelernt. Die verschiedenen Ärzte, die für meine baldige Genesung sorgten, kann ich nur über den Klee loben. Ich habe zwar keine weiteren Erfahrungen (Gott sei Dank), aber das ich so schnell wieder genesen bin schreibe ich den behandelnden Ärzten und den überaus freundlichen Pflegepersonal in diese positive Kritik.
Abschließend bedanke ich mich nochmals herzlich dafür, dass Sie mein linkes Auge retten konnten! Ich sehe inzwischen besser als zuvor!
Beste Grüße 

Rolf-Wilhelm Eimecke"
Augen,08.11.2016,unzumutbare Wartezeiten,"Ich bin an Diabetes erkrankt und habe leider auch schon Folgeschäden im Auge. Beide Augen sind betroffen. Auf beiden Augen ist Flüssigkeit auf der Netzhaut. Zusätzlich ist in dem Glaskörper des rechten Auges eine Blutung, welche sich bislang nicht von alleine zurückgebildet hat. Auch nicht nach einer sehr schmerzhaften Laserbehandlung mit etwa 500 Schuss. Hinzu kommt noch, das beide Linsen getrübt sind (Grauer Star).
Mir wurde in dieser Klinik immer gesagt, dass man die Linse nicht durch eine künstliche ersetzen kann, solange noch Flüssigkeit auf der Netzhaut ist. Das habe ich so hingenommen und habe entsprechende Injektionen und Lasereingriffe in beiden Augen durchführen lassen. (11 Spritzen links, 3 rechts)
Es ist immer mit einer erhöhten bis unzumutbaren Wartezeit verbunden. Die Terminvergabe ist zwar in dem Augenblick okay, wenn man sie erhält, doch dann bei dem Besuch zum Termin wundert man sich, wenn man drei, wier oder mehr Stunden warten muss. Ich für mich habe seit gestern die Nase gestrichen voll. Im Warteraum saßen über 20 Personen. Bereits operierte Personen, die Ruhe brauchten, aber auch auf den eingriff wartende Personen. Überwiegend sind es natürlich ältere Personen, die sich dort quälen müssen. Teilweise mussten sie stehen, da nicht mal ausreichend Platz zum sitzen vorhanden war. Eine ältere Person wartet seit 9 Uhr auf seinen Eingriff. Als ich mit meinem Termin um 11 Uhr ankam und das hörte, war ich erschrocken, dass man einen älteren Mann (ca 75 Jahre) dort solange warten lies. Bevor ich dann gegen 12.30 Uhr rankam, kam dieser Mann gerade geschwächt aus dem OP. Das ist nur ein Einzelfall. Ich selber habe die Klinik gegen 13.30 Uhr verlassen dürfen.
Es ist auch schon vorgekommen, dass man meine Gesundheitskarte der Krankenkasse gar nicht eingelesen hatte, eine Arbeitsunfähigkeitsbescheinigung falsch oder gar nicht ausgestellt hatte. Zu all den Sachen musste ich erneut in die Klinik fahren. Eines Tages wollte man nur ein Auge behandeln, aber man wollte mir beide Augen tropfen. Das zeigte mir erneut, wie durcheinander dort die Organisation ist. 
Nach den ganzen Quälerein hatte man mir dann einen Termin für eine größere OP im rechten Augen gegeben. Man wollte nun endlich mal eine Linse ersetzen und gleichzeitig den Glaskörper entfernen. Da habe ich mich entschlossen, mir eine zweite Meinung einzuholen und habe die Klinik gewechselt. Schade, dass ich nur 2000 Zeichen darf..."
Augen,12.07.2016,Patienten und Probleme sind lästige Bremsklötze,"Anbahnung und Voruntersuchung für eine Katarakt-OP bekam ich ohne Termin. Der Preis dafür war langes Warten zwischen den Untersuchungen. Das Ganze zog sich über ca. 4 Stunden. Auffallend war, dass das Personal keine Motivation(?) hatte, den Patienten jeweils darüber zu informieren, was gerade gemacht wird. Man bekam nur Anweisungen: Machen Sie dies, gehen Sie da. Niemand stellte sich vor. Am Ende stand ein halblegales Aufnahmegespräch mit einem Arzt(?). Es wurde Persönliches abgefragt, Vorerkrankungen, Allergien etc.. Ein Medikamentenname reichte als Info nicht, das führte zu langem Suchen in der Datenbank (hätte ich Dummerle mir nur den Wirkstoff gemerkt).
Der Arzt hielt mich wohl für einen armen Schlucker, denn es folgte weder eine Aufklärung über alle Möglichkeiten (verschiedenste Linsentypen, Lichtfilter, Multifokal, unterschiedliche Augeneinstellung) noch über die tatsächlichen Risiken und ihre Wahrscheinlichkeit. Es wurde kurz mein Beruf angesprochen und der Arzt entschied dann, was wohl das Beste für mich sei. Ich bekamm ein Faltblatt zur Unterschrift vorgehalten, auf dem ein paar aufgemalte Kreise wohl die größten Risiken markieren sollten. Mit meinen Augen konnte ich das fast nicht lesen!
Beim OP-Termin war die Abfertigung schnell, die nötigen Augentropfen bekamen alle Patienten schon im Warteraum, auch ein Fragebogen mit unlesbar kleiner Schrift war zu unterschreiben (Absicht?). Meiner Begleitung fiel noch eine besonders freundliche Behandlung für Privatpatienten auf. Die OP verlief dann ohne viele Worte. DEN OPERATEUR KONNTE ICH WEDER SEHEN, (war vor Augenabdeckung nicht da) NOCH HAT ER SICH VORGESTELLT. Geht gar nicht!
Danach: Tschüß! Kommen sie morgen wieder. Auch bei der Erstkontrolle keine Verhaltensregeln, nichts!
Als ich bei der Zweitkontrolle meine Probleme schilderte, wurde nicht darauf eingegangen, vertröstet und wir sehen Sie bei der zweiten OP - tschüß!. Die habe ich abgesagt und lasse nun ALLES durch einen Augenarzt überprüfen!"
Augen,21.04.2016,Nie wieder.,"Mein Freund liegt grad stationär in der Klinik und was da abläuft geht garnicht !!!!!!
4 Tage nach der OP weiß er immer noch nicht, ob alles gut gegangen ist und was nun genau gemacht worden ist. Die Ärzte haben entweder keine Zeit oder jeder sagt was anderes. Der Arzt, der ihn operierte ist nicht greifbar und hat immer zutun. Genauso geht es seinen 2 Mitpatienten im Zimmer. er wurde bei im zig mal versucht den Augendruck zu messen, bis dann endlich einer merkte, das er eine Schutz Kontaktlinse trägt. Gestern sollte er heute entlassen werden. Heute wiederum erst in 2 Tagen - aber warum - keine Info. Mein Freund ist Diabetiker, aber das Essen da ist nicht Diabetiker geeignet, bzw. keiner kann sagen, was im Essen ist bzw. wieviel Kohlenhydrate es hat. Die Schwestern sind unfreundlich und immer nur genervt. Die Zimmer sind auf 70er Jahre Niveau.
Aber das schlimmste ist wirklich, daß keine Auskunft geben kann und will, was am Patienten gemacht worden ist und ob es gelungen ist. :-( 
Also mein Freund wird diesen Scheißladen nicht mehr aufsuchen!"
Augen,17.03.2016,SCHLIMMER GEHT IMMER !!!!,"Schlimmer geht immer.Ich war wegen meiner Hornhaut Verletzung zur Kontrolle und hatte schon eine Kontaktlinse im Rechten Auge zum Schutz der Hornhaut.Zwei Augenärzte haben sich mein Auge angeschaut und beide sagten das meine Kontaktlinse draussen sei und man mir wieder eine einsetzen möchte zum Schutz.
Tatsächlich haben die beiden Ärzte meine Kontaktlinse übersehen und ich hatte somit zwei Kontaktlinsen im Auge.Nach einem Tag sah ich alles Mega Unscharf.Bei meiner Augenärztin zurück (sie war im Urlaub)fragte sie mich wieso ich zwei Kontaktlinsen im Auge hätte?Die zweite Linse hatte in der Zeit schon Wellen geworfen.Soviel Inkompetenz Dummheit Blödheit passt in Braunschweig auf keinen Dampfer drauf."
Augen,08.11.2015,provessionelle und super Behandlung in der Klinik,"in diesem Jahr wahr ich 2x zur Augenoperation in der Augenklinik Dr. Hoffmann.
Alle behandelnden Ärzte und Schwestern waren sehr freundlich, professionell und nahmen sich immer Zeit für mich.
Besonders angenehm war die Anästhesistin. Schon beim ersten Gespräch strahlte Frau Dr. Sicherheit Fürsorge und Vertrauen aus. Im O.P. war sie eine große Beruhigung für mich, ihre Betreuung war super!
herzlichen Dank an alle Ärzte und Schwestern, die mich auch in dieser Woche so professionell und liebevoll umsorgt haben.
"
Augen,21.06.2015,Gute Augenklinik,"Wartezeit in der Regel 2 Stunden. Qualifizierte Untersuchungen und gute persönliche Beratung.
Gute Noten für Krankenhausbetrieb einschließlich Essen. Das erste Krankenhaus, in dem ich mich nicht unwohl gefühlt habe (3 Tage mit OP nach Netzhautablösung).
Sehr empfehlenswert."
Augen,13.04.2015,100 % sehfähig!,"Sehr kompetente Beratung, keine lange Wartezeit! Intensive Untersuchung, schneller OP Termin und schmerzfreie Katarakt OP mit super Ergebnis. Mit Femtolaserbehandlung und Multifokallinse am Tag nach der OP schon 100% sehfähig! 
Bin gespannt wie es bei der Behandlung des 2. Auges geht!"
Augen,29.01.2015,"kommt darauf an, was man hat und wer einen behandelt...","Wenn man akut ein leichtes Augenproblem hat, ist die Klinik zu empfehlen, da man ohne Termin dran kommt. 

Aber: es muss viel Zeit mitgebracht werden. Stundenlanges Warten ist eher die Regel als die Ausnahme. Manchmal gilt dies leider auch in Notfällen, je nachdem, ob die Dame hinter der Anmeldung die Dringlichkeit auch erkennt (oder erkennen möchte).

Wenn man Glück hat, und zu einem der Chef-Ärtze vorgelassen wird, kann man sicher sein, kompetent und nett behandelt zu werden. Sonst ist es eher wie beim Roulette. Ich bin auch schon trotz ernsthafter Probleme unverrichteter Dinge wieder nach Hause geschickt worden...

Katarakt-OPs (grauer Star, neue Kunstlinse) kann man m. E. dort relativ problemlos machen lassen, mit dem üblichen Restrisiko. Die Klinik ist dort erfahren.

Auch schwierige Fälle (Netzhautriss, Netzhautablösung etc.) werden kompetent operiert, aber die OPs erfolgen m. E.nicht immer ausreichend zeitnah. Hier müsste dringend noch schneller reagiert werden.

Die Nachbehandlung ist qualitativ wieder sehr uneinheitlich, je nachdem, auf wen man trifft.

Die stationäre Unterbringung in der Klinik hat in vielen Bereichen noch den Charme der 70er Jahre (4-Bett-Zimmer, Duschen in zu geringer Zahl, Sanitäranlagen abgängig). Die Essensversorgung ist aber relativ gut (wenn auch kein Mittagessen zum Auswählen) und das Pflegepersonal größtenteils ganz nett.

Leider findet man nicht immer ausreichend schnell jemanden vom Pflegepersonal. Die Personaldecke scheint in diesem Bereich zu dünn zu sein.

Daher: ich kann die Klinik weder eindeutig empfehlen noch eindeutige Kritik üben. Wenn man in Braunschweig und Umgebung wohnt, ist es halt praktisch, dort hin zu gehen, und im Regelfall wird man auch kompetent behandelt. Aber ich habe halt auch schon das Gegenteil erlebt. 

Es gibt also noch Potential für die Klinik, sich zu verbessern - und ich habe den Eindruck, dass dies erkannt ist und dort daran auch gearbeitet wird."
